ORIG_FID,ORIG_LEN,ORIG_SEQ,Tipo,Lat,LONG
1,0.000000000000000,1,,8.792771699999999,-82.643422299999997
1,5.000000000000000,2,,8.792738640000000,-82.643392329999998
1,10.000000000000000,3,,8.792705570000001,-82.643362359999998
1,15.000000000000000,4,,8.792672509999999,-82.643332389999998
1,20.000000000000000,5,,8.792639449999999,-82.643302430000006
1,25.000000000000000,6,,8.792606380000000,-82.643272460000006
1,30.000000000000000,7,,8.792573320000001,-82.643242490000006
1,35.000000000000000,8,,8.792540260000001,-82.643212520000006
1,40.000000000000000,9,,8.792507199999999,-82.643182550000006
1,45.000000000000000,10,,8.792474130000000,-82.643152580000006
1,50.000000000000000,11,,8.792441070000001,-82.643122610000006
1,55.000000000000000,12,,8.792408010000001,-82.643092650000000
1,60.000000000000000,13,,8.792374949999999,-82.643062680000000
1,65.000000000000000,14,,8.792341880000000,-82.643032710000000
1,70.000000000000000,15,,8.792308820000001,-82.643002740000000
1,75.000000000000000,16,,8.792275760000001,-82.642972770000000
1,80.000000000000000,17,,8.792242690000000,-82.642942800000000
1,85.000000000000000,18,,8.792209630000000,-82.642912830000000
1,90.000000000000000,19,,8.792176570000001,-82.642882860000000
1,95.000000000000000,20,,8.792143500000000,-82.642852899999994
1,100.000000000000000,21,,8.792110440000000,-82.642822929999994
1,105.000000000000000,22,,8.792077380000000,-82.642792959999994
1,110.000000000000000,23,,8.792044320000000,-82.642762989999994
1,115.000000000000000,24,,8.792011250000000,-82.642733019999994
1,120.000000000000000,25,,8.791978190000000,-82.642703049999994
1,125.000000000000000,26,,8.791945130000000,-82.642673079999994
1,130.000000000000000,27,,8.791912060000000,-82.642643120000002
1,135.000000000000000,28,,8.791879000000000,-82.642613150000003
1,140.000000000000000,29,,8.791845940000000,-82.642583180000003
1,145.000000000000000,30,,8.791812880000000,-82.642553210000003
1,150.000000000000000,31,,8.791779110000000,-82.642524060000000
1,155.000000000000000,32,,8.791744990000000,-82.642495339999996
1,160.000000000000000,33,,8.791710860000000,-82.642466619999993
1,165.000000000000000,34,,8.791676730000001,-82.642437889999997
1,170.000000000000000,35,,8.791642610000000,-82.642409169999993
1,175.000000000000000,36,,8.791608480000001,-82.642380450000005
1,180.000000000000000,37,,8.791574360000000,-82.642351730000001
1,185.000000000000000,38,,8.791540230000001,-82.642323009999998
1,190.000000000000000,39,,8.791506099999999,-82.642294280000002
1,195.000000000000000,40,,8.791471980000001,-82.642265559999998
1,200.000000000000000,41,,8.791437849999999,-82.642236839999995
1,205.000000000000000,42,,8.791403720000000,-82.642208120000006
1,210.000000000000000,43,,8.791369599999999,-82.642179400000003
1,215.000000000000000,44,,8.791335470000000,-82.642150670000007
1,220.000000000000000,45,,8.791301340000000,-82.642121950000003
1,225.000000000000000,46,,8.791267220000000,-82.642093230000000
1,230.000000000000000,47,,8.791233090000000,-82.642064509999997
1,235.000000000000000,48,,8.791198959999999,-82.642035789999994
1,240.000000000000000,49,,8.791164840000000,-82.642007070000005
1,245.000000000000000,50,,8.791130709999999,-82.641978339999994
1,250.000000000000000,51,,8.791096580000000,-82.641949620000005
1,255.000000000000000,52,,8.791062459999999,-82.641920900000002
1,260.000000000000000,53,,8.791028330000000,-82.641892179999999
1,265.000000000000000,54,,8.790994260000000,-82.641863380000004
1,270.000000000000000,55,,8.790961440000000,-82.641833140000003
1,275.000000000000000,56,,8.790928620000001,-82.641802900000002
1,280.000000000000000,57,,8.790895799999999,-82.641772660000001
1,285.000000000000000,58,,8.790862980000000,-82.641742420000000
1,290.000000000000000,59,,8.790830160000001,-82.641712179999999
1,295.000000000000000,60,,8.790797339999999,-82.641681939999998
1,300.000000000000000,61,,8.790764520000000,-82.641651699999997
1,305.000000000000000,62,,8.790731700000000,-82.641621459999996
1,310.000000000000000,63,,8.790698880000001,-82.641591219999995
1,315.000000000000000,64,,8.790666060000000,-82.641560979999994
1,320.000000000000000,65,,8.790633240000000,-82.641530739999993
1,325.000000000000000,66,,8.790600420000001,-82.641500500000006
1,330.000000000000000,67,,8.790567590000000,-82.641470260000006
1,335.000000000000000,68,,8.790534770000001,-82.641440020000005
1,340.000000000000000,69,,8.790501949999999,-82.641409780000004
1,345.000000000000000,70,,8.790469130000000,-82.641379540000003
1,350.000000000000000,71,,8.790436310000000,-82.641349300000002
1,355.000000000000000,72,,8.790403489999999,-82.641319060000001
1,360.000000000000000,73,,8.790370670000000,-82.641288820000000
1,365.000000000000000,74,,8.790337850000000,-82.641258579999999
1,370.000000000000000,75,,8.790305030000001,-82.641228339999998
1,375.000000000000000,76,,8.790272209999999,-82.641198099999997
1,380.000000000000000,77,,8.790239390000000,-82.641167859999996
1,385.000000000000000,78,,8.790206570000000,-82.641137619999995
1,390.000000000000000,79,,8.790173749999999,-82.641107379999994
1,395.000000000000000,80,,8.790140920000001,-82.641077139999993
1,400.000000000000000,81,,8.790108099999999,-82.641046900000006
1,405.000000000000000,82,,8.790075280000000,-82.641016660000005
1,410.000000000000000,83,,8.790042460000000,-82.640986420000004
1,415.000000000000000,84,,8.790009639999999,-82.640956180000003
1,420.000000000000000,85,,8.789976820000000,-82.640925940000002
1,425.000000000000000,86,,8.789944000000000,-82.640895700000002
1,430.000000000000000,87,,8.789911180000001,-82.640865460000001
1,435.000000000000000,88,,8.789878359999999,-82.640835220000000
1,440.000000000000000,89,,8.789845540000000,-82.640804979999999
1,445.000000000000000,90,,8.789812720000000,-82.640774739999998
1,450.000000000000000,91,,8.789779899999999,-82.640744499999997
1,455.000000000000000,92,,8.789747080000000,-82.640714259999996
1,460.000000000000000,93,,8.789714249999999,-82.640684019999995
1,465.000000000000000,94,,8.789681430000000,-82.640653779999994
1,470.000000000000000,95,,8.789648610000000,-82.640623540000007
1,475.000000000000000,96,,8.789615789999999,-82.640593300000006
1,480.000000000000000,97,,8.789582970000000,-82.640563060000005
1,485.000000000000000,98,,8.789550150000000,-82.640532820000004
1,490.000000000000000,99,,8.789517330000001,-82.640502580000003
1,495.000000000000000,100,,8.789484509999999,-82.640472340000002
1,500.000000000000000,101,,8.789451690000000,-82.640442100000001
1,505.000000000000000,102,,8.789418870000000,-82.640411860000000
1,510.000000000000000,103,,8.789386049999999,-82.640381619999999
1,515.000000000000000,104,,8.789352750000001,-82.640351910000007
1,520.000000000000000,105,,8.789319460000000,-82.640322209999994
1,525.000000000000000,106,,8.789286160000000,-82.640292509999995
1,530.000000000000000,107,,8.789252860000000,-82.640262809999996
1,535.000000000000000,108,,8.789219559999999,-82.640233109999997
1,540.000000000000000,109,,8.789186259999999,-82.640203409999998
1,545.000000000000000,110,,8.789152970000000,-82.640173700000005
1,550.000000000000000,111,,8.789119670000000,-82.640144000000006
1,555.000000000000000,112,,8.789086370000000,-82.640114299999993
1,560.000000000000000,113,,8.789053070000000,-82.640084599999994
1,565.000000000000000,114,,8.789019780000000,-82.640054899999996
1,570.000000000000000,115,,8.788986480000000,-82.640025199999997
1,575.000000000000000,116,,8.788953180000000,-82.639995490000004
1,580.000000000000000,117,,8.788919880000000,-82.639965790000005
1,585.000000000000000,118,,8.788886580000000,-82.639936090000006
1,590.000000000000000,119,,8.788853290000000,-82.639906389999993
1,595.000000000000000,120,,8.788819990000000,-82.639876689999994
1,600.000000000000000,121,,8.788786690000000,-82.639846989999995
1,605.000000000000000,122,,8.788753390000000,-82.639817280000003
1,610.000000000000000,123,,8.788720100000001,-82.639787580000004
1,615.000000000000000,124,,8.788686800000001,-82.639757880000005
1,620.000000000000000,125,,8.788653500000001,-82.639728180000006
1,625.000000000000000,126,,8.788620200000000,-82.639698480000007
1,630.000000000000000,127,,8.788586900000000,-82.639668779999994
1,635.000000000000000,128,,8.788553609999999,-82.639639079999995
1,640.000000000000000,129,,8.788520309999999,-82.639609370000002
1,645.000000000000000,130,,8.788487010000001,-82.639579670000003
1,650.000000000000000,131,,8.788453710000001,-82.639549970000004
1,655.000000000000000,132,,8.788420420000000,-82.639520270000006
1,660.000000000000000,133,,8.788387119999999,-82.639490570000007
1,665.000000000000000,134,,8.788353819999999,-82.639460869999994
1,670.000000000000000,135,,8.788320519999999,-82.639431169999995
1,675.000000000000000,136,,8.788287220000001,-82.639401460000002
1,680.000000000000000,137,,8.788253930000000,-82.639371760000003
1,685.000000000000000,138,,8.788220630000000,-82.639342060000004
1,690.000000000000000,139,,8.788187330000000,-82.639312360000005
1,695.000000000000000,140,,8.788154029999999,-82.639282660000006
1,700.000000000000000,141,,8.788120729999999,-82.639252959999993
1,705.000000000000000,142,,8.788087440000000,-82.639223259999994
1,710.000000000000000,143,,8.788054140000000,-82.639193550000002
1,715.000000000000000,144,,8.788020840000000,-82.639163850000003
1,720.000000000000000,145,,8.787987540000000,-82.639134150000004
1,725.000000000000000,146,,8.787954239999999,-82.639104450000005
1,730.000000000000000,147,,8.787920950000000,-82.639074750000006
1,735.000000000000000,148,,8.787887650000000,-82.639045049999993
1,740.000000000000000,149,,8.787854350000000,-82.639015340000000
1,745.000000000000000,150,,8.787821050000000,-82.638985640000001
1,750.000000000000000,151,,8.787787760000001,-82.638955940000002
1,755.000000000000000,152,,8.787754460000000,-82.638926240000004
1,760.000000000000000,153,,8.787721160000000,-82.638896540000005
1,765.000000000000000,154,,8.787687860000000,-82.638866840000006
1,770.000000000000000,155,,8.787654560000000,-82.638837140000007
1,775.000000000000000,156,,8.787621270000001,-82.638807430000000
1,780.000000000000000,157,,8.787587970000001,-82.638777730000001
1,785.000000000000000,158,,8.787554670000000,-82.638748030000002
1,790.000000000000000,159,,8.787521370000000,-82.638718330000003
1,795.000000000000000,160,,8.787488070000000,-82.638688630000004
1,800.000000000000000,161,,8.787454779999999,-82.638658930000005
1,805.000000000000000,162,,8.787421480000001,-82.638629230000006
1,810.000000000000000,163,,8.787388180000001,-82.638599520000000
1,815.000000000000000,164,,8.787354880000001,-82.638569820000001
1,820.000000000000000,165,,8.787321580000000,-82.638540120000002
1,825.000000000000000,166,,8.787288289999999,-82.638510420000003
1,830.000000000000000,167,,8.787254989999999,-82.638480720000004
1,835.000000000000000,168,,8.787221690000001,-82.638451020000005
1,840.000000000000000,169,,8.787188390000001,-82.638421309999998
1,845.000000000000000,170,,8.787155090000001,-82.638391609999999
1,850.000000000000000,171,,8.787121800000000,-82.638361910000000
1,855.000000000000000,172,,8.787088499999999,-82.638332210000002
1,860.000000000000000,173,,8.787055199999999,-82.638302510000003
1,865.000000000000000,174,,8.787021899999999,-82.638272810000004
1,870.000000000000000,175,,8.786988610000000,-82.638243110000005
1,875.000000000000000,176,,8.786955310000000,-82.638213399999998
1,880.000000000000000,177,,8.786922010000000,-82.638183699999999
1,885.000000000000000,178,,8.786888709999999,-82.638154000000000
1,890.000000000000000,179,,8.786855409999999,-82.638124300000001
1,895.000000000000000,180,,8.786822120000000,-82.638094600000002
1,900.000000000000000,181,,8.786788820000000,-82.638064900000003
1,905.000000000000000,182,,8.786755520000000,-82.638035200000004
1,910.000000000000000,183,,8.786722220000000,-82.638005489999998
1,915.000000000000000,184,,8.786688920000000,-82.637975789999999
1,920.000000000000000,185,,8.786655619999999,-82.637946090000000
1,925.000000000000000,186,,8.786622330000000,-82.637916390000001
1,930.000000000000000,187,,8.786589030000000,-82.637886690000002
1,935.000000000000000,188,,8.786555730000000,-82.637856990000003
1,940.000000000000000,189,,8.786522430000000,-82.637827279999996
1,945.000000000000000,190,,8.786491059999999,-82.637840030000007
1,950.000000000000000,191,,8.786460580000000,-82.637872689999995
1,955.000000000000000,192,,8.786430100000000,-82.637905340000003
1,960.000000000000000,193,,8.786399630000000,-82.637938000000005
1,965.000000000000000,194,,8.786369150000001,-82.637970659999993
1,970.000000000000000,195,,8.786338680000000,-82.638003310000002
1,975.000000000000000,196,,8.786308200000001,-82.638035970000004
1,980.000000000000000,197,,8.786277730000000,-82.638068630000006
1,985.000000000000000,198,,8.786247250000001,-82.638101280000001
1,990.000000000000000,199,,8.786216769999999,-82.638133940000003
1,995.000000000000000,200,,8.786186300000001,-82.638166600000005
1,1000.000000000000000,201,,8.786155819999999,-82.638199250000000
1,1005.000000000000000,202,,8.786125350000001,-82.638231910000002
1,1010.000000000000000,203,,8.786094869999999,-82.638264570000004
1,1015.000000000000000,204,,8.786064400000001,-82.638297219999998
1,1020.000000000000000,205,,8.786033919999999,-82.638329880000001
1,1025.000000000000000,206,,8.786003440000000,-82.638362540000003
1,1030.000000000000000,207,,8.785972970000000,-82.638395200000005
1,1035.000000000000000,208,,8.785942490000000,-82.638427849999999
1,1040.000000000000000,209,,8.785912020000000,-82.638460510000002
1,1045.000000000000000,210,,8.785881540000000,-82.638493170000004
1,1050.000000000000000,211,,8.785851070000000,-82.638525819999998
1,1055.000000000000000,212,,8.785820590000000,-82.638558480000000
1,1060.000000000000000,213,,8.785790110000001,-82.638591140000003
1,1065.000000000000000,214,,8.785759640000000,-82.638623789999997
1,1070.000000000000000,215,,8.785729160000001,-82.638656449999999
1,1075.000000000000000,216,,8.785698690000000,-82.638689110000001
1,1080.000000000000000,217,,8.785668210000001,-82.638721759999996
1,1085.000000000000000,218,,8.785637740000000,-82.638754419999998
1,1090.000000000000000,219,,8.785607260000001,-82.638787080000000
1,1095.000000000000000,220,,8.785576780000000,-82.638819729999994
1,1100.000000000000000,221,,8.785546310000001,-82.638852389999997
1,1105.000000000000000,222,,8.785515830000000,-82.638885049999999
1,1110.000000000000000,223,,8.785485359999999,-82.638917699999993
1,1115.000000000000000,224,,8.785454880000000,-82.638950359999995
1,1120.000000000000000,225,,8.785424400000000,-82.638983019999998
1,1125.000000000000000,226,,8.785393930000000,-82.639015680000000
1,1130.000000000000000,227,,8.785363450000000,-82.639048329999994
1,1135.000000000000000,228,,8.785332980000000,-82.639080989999997
1,1140.000000000000000,229,,8.785302500000000,-82.639113649999999
1,1145.000000000000000,230,,8.785272030000000,-82.639146299999993
1,1150.000000000000000,231,,8.785241550000000,-82.639178959999995
1,1155.000000000000000,232,,8.785211070000001,-82.639211619999998
1,1160.000000000000000,233,,8.785180600000000,-82.639244270000006
1,1165.000000000000000,234,,8.785150120000001,-82.639276929999994
1,1170.000000000000000,235,,8.785119650000000,-82.639309589999996
1,1175.000000000000000,236,,8.785089169999999,-82.639342240000005
1,1180.000000000000000,237,,8.785058700000000,-82.639374900000007
1,1185.000000000000000,238,,8.785028219999999,-82.639407559999995
1,1190.000000000000000,239,,8.784997740000000,-82.639440210000004
1,1195.000000000000000,240,,8.784967269999999,-82.639472870000006
1,1200.000000000000000,241,,8.784936790000000,-82.639505529999994
1,1205.000000000000000,242,,8.784906319999999,-82.639538180000002
1,1210.000000000000000,243,,8.784875840000000,-82.639570840000005
1,1215.000000000000000,244,,8.784845360000000,-82.639603500000007
1,1220.000000000000000,245,,8.784814890000000,-82.639636150000001
1,1225.000000000000000,246,,8.784784410000000,-82.639668810000003
1,1230.000000000000000,247,,8.784753940000000,-82.639701470000006
1,1235.000000000000000,248,,8.784723460000000,-82.639734129999994
1,1240.000000000000000,249,,8.784692990000000,-82.639766780000002
1,1245.000000000000000,250,,8.784662510000000,-82.639799440000004
1,1250.000000000000000,251,,8.784632029999999,-82.639832100000007
1,1255.000000000000000,252,,8.784601560000000,-82.639864750000001
1,1260.000000000000000,253,,8.784571079999999,-82.639897410000003
1,1265.000000000000000,254,,8.784540610000001,-82.639930070000005
1,1270.000000000000000,255,,8.784510129999999,-82.639962720000000
1,1275.000000000000000,256,,8.784479650000000,-82.639995380000002
1,1280.000000000000000,257,,8.784449179999999,-82.640028040000004
1,1285.000000000000000,258,,8.784418700000000,-82.640060689999999
1,1290.000000000000000,259,,8.784388229999999,-82.640093350000001
1,1295.000000000000000,260,,8.784357750000000,-82.640126010000003
1,1300.000000000000000,261,,8.784327270000000,-82.640158659999997
